lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
59.3974985,24.6675414,248,2,21,57302,,,,,GSM,,,,,,
59.3985457,24.6754201,248,2,21,57301,,,,,GSM,,,,,,
59.3970125,24.6635615,248,2,21,56829,,,,,GSM,,,,,,
