lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
59.397722,24.6658866,248,2,2021,256287254,,,,,LTE,,,2021,,,
59.3970094,24.6646418,248,2,2021,256336919,,,,,LTE,,,2021,,,
